Model,Type,Accuracy,Precision,Recall,F1 Score,AUC
XGBoost,Machine Learning,0.9134860050890585,0.7142857142857143,0.5769230769230769,0.6382978723404256,0.8622828784119106
Random Forest,Machine Learning,0.916030534351145,0.7567567567567568,0.5384615384615384,0.6292134831460674,0.8757613354387548
Gradient Boosting,Machine Learning,0.910941475826972,0.7073170731707317,0.5576923076923077,0.6236559139784946,0.8806677193773969
Decision Tree,Machine Learning,0.8931297709923665,0.5961538461538461,0.5961538461538461,0.5961538461538461,0.798330701556508
LightGBM,Machine Learning,0.8982188295165394,0.6428571428571429,0.5192307692307693,0.574468085106383,0.8616625310173698
Advanced Neural Network,Deep Learning,0.8498727735368957,0.4406779661016949,0.5,0.46846846846846846,0.791958041958042
Basic Neural Network,Deep Learning,0.8880407124681934,0.7,0.2692307692307692,0.3888888888888889,0.8727159936837356
Logistic Regression,Machine Learning,0.8651399491094147,0.45454545454545453,0.09615384615384616,0.15873015873015872,0.8208323934130386
